Removed Pin From Net: NetName=+3.3V Pin=J2-2
Added Component: Designator=U2(QFN50P900X900X100-65N)
Added Pin To Net: NetName=NetU2_1 Pin=U2-1
Added Pin To Net: NetName=NetU2_2 Pin=U2-2
Added Pin To Net: NetName=NetU2_3 Pin=U2-3
Added Pin To Net: NetName=NetU2_4 Pin=U2-4
Added Pin To Net: NetName=NetU2_5 Pin=U2-5
Added Pin To Net: NetName=NetU2_6 Pin=U2-6
Added Pin To Net: NetName=MCLR Pin=U2-7
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=+3.3V Pin=U2-10
Added Pin To Net: NetName=PGC Pin=U2-17
Added Pin To Net: NetName=PGD Pin=U2-18
Added Pin To Net: NetName=+3.3V Pin=U2-19
Added Pin To Net: NetName=GND Pin=U2-20
Added Pin To Net: NetName=NetU2_22 Pin=U2-22
Added Pin To Net: NetName=GND Pin=U2-25
Added Pin To Net: NetName=+3.3V Pin=U2-26
Added Pin To Net: NetName=UART_TX Pin=U2-32
Added Pin To Net: NetName=NetU2_33 Pin=U2-33
Added Pin To Net: NetName=NetU2_34 Pin=U2-34
Added Pin To Net: NetName=+3.3V Pin=U2-35
Added Pin To Net: NetName=NetU2_36 Pin=U2-36
Added Pin To Net: NetName=NetU2_37 Pin=U2-37
Added Pin To Net: NetName=+3.3V Pin=U2-38
Added Pin To Net: NetName=NetR1_1 Pin=U2-39
Added Pin To Net: NetName=NetC8_1 Pin=U2-40
Added Pin To Net: NetName=GND Pin=U2-41
Added Pin To Net: NetName=NetU2_42 Pin=U2-42
Added Pin To Net: NetName=NetU2_43 Pin=U2-43
Added Pin To Net: NetName=NetU2_44 Pin=U2-44
Added Pin To Net: NetName=NetU2_45 Pin=U2-45
Added Pin To Net: NetName=NetU1_24 Pin=U2-46
Added Pin To Net: NetName=ADCSDO_PIC32SDI Pin=U2-47
Added Pin To Net: NetName=SCK Pin=U2-50
Added Pin To Net: NetName=ADCSDI_PIC32SDO Pin=U2-52
Added Pin To Net: NetName=NetU1_19 Pin=U2-53
Added Pin To Net: NetName=NetU1_18 Pin=U2-54
Added Pin To Net: NetName=NetU1_16 Pin=U2-55
Added Pin To Net: NetName=NetC6_1 Pin=U2-56
Added Pin To Net: NetName=+3.3V Pin=U2-57
Added Pin To Net: NetName=NetU2_59 Pin=U2-59
Added Pin To Net: NetName=NetU2_60 Pin=U2-60
Added Pin To Net: NetName=NetU2_61 Pin=U2-61
Added Pin To Net: NetName=NetU2_62 Pin=U2-62
Added Pin To Net: NetName=NetU2_63 Pin=U2-63
Added Pin To Net: NetName=NetU2_64 Pin=U2-64
Added Pin To Net: NetName=GND Pin=U2-65
Added Member To Class: ClassName=PIC32_Subsystem Member=Component U2 PIC32MX470-F512H-120MR
